Designator,Mid X,Mid Y,Rotation,Layer
C1,99.625845,-49.143219,90.0,bottom
C2,80.33125,-43.9875,270.0,bottom
C3,164.13125,-27.8875,0.0,bottom
C4,97.975845,-49.143219,90.0,bottom
C5,213.73125,-58.0875,270.0,bottom
D1,65.900842,-45.111667,90.0,bottom
D10,243.606511,-42.858403,90.0,bottom
D11,66.005465,-71.481135,90.0,bottom
D12,84.972311,-66.63765,90.0,bottom
D13,110.40495,-55.945531,90.0,bottom
D14,134.20625,-64.78125,90.0,bottom
D15,153.25625,-63.53125,90.0,bottom
D16,172.30625,-63.53125,90.0,bottom
D17,191.35625,-63.53125,90.0,bottom
D18,199.311282,-56.594299,90.0,bottom
D19,218.334983,-66.138505,90.0,bottom
D2,78.607611,-42.639417,270.0,bottom
D20,243.606511,-69.052153,90.0,bottom
D21,65.998653,-95.254981,90.0,bottom
D22,84.972585,-92.330555,90.0,bottom
D23,104.050469,-77.963647,90.0,bottom
D24,123.120071,-80.5123,90.0,bottom
D25,138.182103,-79.477509,90.0,bottom
D26,157.168903,-79.406235,90.0,bottom
D27,176.080793,-79.373748,90.0,bottom
D28,199.256569,-78.007184,90.0,bottom
D29,224.555564,-90.563491,90.0,bottom
D3,115.15625,-33.71875,90.0,bottom
D30,243.606511,-92.864653,90.0,bottom
D31,115.15625,-93.63125,90.0,bottom
D32,118.20625,-93.63125,270.0,bottom
D33,142.408191,-97.657034,270.0,bottom
D34,156.113909,-99.9875,270.0,bottom
D35,191.35625,-93.63125,270.0,bottom
D36,199.284517,-99.362828,90.0,bottom
D37,126.20625,-83.66125,0.0,bottom
D38,167.83125,-27.9875,180.0,bottom
D39,183.35625,-83.66125,0.0,bottom
D4,134.798293,-45.508447,90.0,bottom
D40,209.048319,-62.8875,180.0,bottom
D5,136.810997,-45.511675,90.0,bottom
D6,171.849128,-45.541406,90.0,bottom
D7,190.892136,-45.521511,90.0,bottom
D8,199.323056,-37.569936,90.0,bottom
D9,218.358543,-42.327607,90.0,bottom
F1,153.43125,-35.2875,0.0,bottom
H1,78.58125,-50.05,0.0,top
H2,230.98125,-50.05,0.0,top
H3,78.58125,-83.3875,0.0,top
H4,230.98125,-83.3875,0.0,top
J1,78.78125,-74.36,0.0,top
J2,211.23125,-45.6175,180.0,bottom
J3,154.78125,-24.60625,180.0,bottom
J4,205.418047,-44.805995,90.0,bottom
K1,69.05625,-42.8625,0.0,top
K10,240.50625,-42.8625,0.0,top
K11,69.05625,-69.05625,0.0,top
K12,88.10625,-64.29375,0.0,top
K13,107.15625,-54.76875,0.0,top
K14,126.20625,-59.53125,0.0,top
K15,145.25625,-59.53125,0.0,top
K16,164.30625,-59.53125,0.0,top
K17,183.35625,-59.53125,0.0,top
K18,202.40625,-54.76875,0.0,top
K19,221.45625,-64.29375,0.0,top
K2,88.10625,-40.48125,90.0,top
K20,240.50625,-69.05625,0.0,top
K21,69.05625,-92.86875,0.0,top
K22,88.10625,-90.4875,0.0,top
K23,107.15625,-76.2,0.0,top
K24,126.20625,-78.58125,0.0,top
K25,145.25625,-78.58125,0.0,top
K26,164.30625,-78.58125,0.0,top
K27,183.35625,-78.58125,0.0,top
K28,202.40625,-76.2,0.0,top
K29,221.45625,-90.4875,0.0,top
K3,107.15625,-35.71875,270.0,top
K30,240.50625,-92.86875,0.0,top
K31,107.15625,-97.63125,0.0,top
K32,126.20625,-97.63125,180.0,top
K33,135.73125,-97.63125,0.0,top
K34,173.83125,-97.63125,0.0,top
K35,183.35625,-97.63125,180.0,top
K36,202.40625,-97.63125,0.0,top
K37,145.25625,-97.63125,180.0,top
K38,164.30625,-97.63125,180.0,top
K4,126.20625,-38.1,180.0,top
K5,145.25625,-38.1,180.0,top
K6,164.30625,-38.1,180.0,top
K7,183.35625,-38.1,180.0,top
K8,202.40625,-35.71875,0.0,top
K9,221.45625,-40.48125,0.0,top
L1,156.63125,-34.7875,270.0,bottom
L2,167.43125,-29.6875,180.0,bottom
L3,93.39125,-47.1875,270.0,bottom
Q1,208.771232,-59.105437,270.0,bottom
R1,156.085198,-38.789754,90.0,bottom
R2,154.585198,-38.789754,270.0,bottom
R3,131.63125,-86.2875,180.0,bottom
R4,223.43125,-54.0875,180.0,bottom
R5,164.13125,-29.3875,180.0,bottom
R6,188.73125,-86.2875,180.0,bottom
R7,210.33125,-38.7875,90.0,bottom
RSW1,124.78125,-28.3875,180.0,bottom
RSW2,134.78125,-28.3875,180.0,bottom
U1,221.13125,-49.3875,0.0,bottom
U2,145.33125,-29.0875,0.0,bottom
U3,97.81125,-45.167,90.0,bottom
X1,101.64625,-46.4875,180.0,bottom
